Student,LPIPS,SSIM
110820054.png,0.0,1.0
110820014.png,0.3126271665096283,0.6998840070905531
110820052.png,0.4047360420227051,0.6362465215091775
110820032.png,0.4360843002796173,0.6059979205956583
112598018.png,0.441738486289978,0.6602473900215015
110820043.png,0.45880794525146484,0.6779214299681621
110820001.png,0.48385247588157654,0.6043351132313535
109820011.png,0.5304883718490601,0.6409299174403739
109820017.png,0.5561352968215942,0.5924706598439299
